"","maker","device_count","resource_location","maker_url","maker_id","maker_indx"
"1","Acer",100,"acer-phones-59.php","https://www.gsmarena.com/acer-phones-59.php","acer","59"
"2","alcatel",409,"alcatel-phones-5.php","https://www.gsmarena.com/alcatel-phones-5.php","alcatel","5"
"3","Allview",157,"allview-phones-88.php","https://www.gsmarena.com/allview-phones-88.php","allview","88"
"4","Amazon",25,"amazon-phones-76.php","https://www.gsmarena.com/amazon-phones-76.php","amazon","76"
"5","Amoi",47,"amoi-phones-28.php","https://www.gsmarena.com/amoi-phones-28.php","amoi","28"
"6","Apple",118,"apple-phones-48.php","https://www.gsmarena.com/apple-phones-48.php","apple","48"
"7","Archos",43,"archos-phones-90.php","https://www.gsmarena.com/archos-phones-90.php","archos","90"
"8","Asus",200,"asus-phones-46.php","https://www.gsmarena.com/asus-phones-46.php","asus","46"
"9","AT&T",4,"at&t-phones-57.php","https://www.gsmarena.com/at&t-phones-57.php","at&t","57"
"10","Benefon",9,"benefon-phones-15.php","https://www.gsmarena.com/benefon-phones-15.php","benefon","15"
"11","BenQ",35,"benq-phones-31.php","https://www.gsmarena.com/benq-phones-31.php","benq","31"
"12","BenQ-Siemens",28,"benq_siemens-phones-42.php","https://www.gsmarena.com/benq_siemens-phones-42.php","benq_siemens","42"
"13","Bird",61,"bird-phones-34.php","https://www.gsmarena.com/bird-phones-34.php","bird","34"
"14","BlackBerry",92,"blackberry-phones-36.php","https://www.gsmarena.com/blackberry-phones-36.php","blackberry","36"
"15","Blackview",81,"blackview-phones-116.php","https://www.gsmarena.com/blackview-phones-116.php","blackview","116"
"16","BLU",369,"blu-phones-67.php","https://www.gsmarena.com/blu-phones-67.php","blu","67"
"17","Bosch",10,"bosch-phones-10.php","https://www.gsmarena.com/bosch-phones-10.php","bosch","10"
"18","BQ",20,"bq-phones-108.php","https://www.gsmarena.com/bq-phones-108.php","bq","108"
"19","Casio",5,"casio-phones-77.php","https://www.gsmarena.com/casio-phones-77.php","casio","77"
"20","Cat",22,"cat-phones-89.php","https://www.gsmarena.com/cat-phones-89.php","cat","89"
"21","Celkon",229,"celkon-phones-75.php","https://www.gsmarena.com/celkon-phones-75.php","celkon","75"
"22","Chea",12,"chea-phones-24.php","https://www.gsmarena.com/chea-phones-24.php","chea","24"
"23","Coolpad",44,"coolpad-phones-105.php","https://www.gsmarena.com/coolpad-phones-105.php","coolpad","105"
"24","Cubot",55,"cubot-phones-130.php","https://www.gsmarena.com/cubot-phones-130.php","cubot","130"
"25","Dell",20,"dell-phones-61.php","https://www.gsmarena.com/dell-phones-61.php","dell","61"
"26","Doogee",64,"doogee-phones-129.php","https://www.gsmarena.com/doogee-phones-129.php","doogee","129"
"27","Emporia",15,"emporia-phones-93.php","https://www.gsmarena.com/emporia-phones-93.php","emporia","93"
"28","Energizer",62,"energizer-phones-106.php","https://www.gsmarena.com/energizer-phones-106.php","energizer","106"
"29","Ericsson",40,"ericsson-phones-2.php","https://www.gsmarena.com/ericsson-phones-2.php","ericsson","2"
"30","Eten",22,"eten-phones-40.php","https://www.gsmarena.com/eten-phones-40.php","eten","40"
"31","Fairphone",4,"fairphone-phones-127.php","https://www.gsmarena.com/fairphone-phones-127.php","fairphone","127"
"32","Fujitsu Siemens",2,"fujitsu_siemens-phones-50.php","https://www.gsmarena.com/fujitsu_siemens-phones-50.php","fujitsu_siemens","50"
"33","Garmin-Asus",5,"garmin_asus-phones-65.php","https://www.gsmarena.com/garmin_asus-phones-65.php","garmin_asus","65"
"34","Gigabyte",63,"gigabyte-phones-47.php","https://www.gsmarena.com/gigabyte-phones-47.php","gigabyte","47"
"35","Gionee",95,"gionee-phones-92.php","https://www.gsmarena.com/gionee-phones-92.php","gionee","92"
"36","Google",27,"google-phones-107.php","https://www.gsmarena.com/google-phones-107.php","google","107"
"37","Haier",59,"haier-phones-33.php","https://www.gsmarena.com/haier-phones-33.php","haier","33"
"38","Honor",187,"honor-phones-121.php","https://www.gsmarena.com/honor-phones-121.php","honor","121"
"39","HP",41,"hp-phones-41.php","https://www.gsmarena.com/hp-phones-41.php","hp","41"
"40","HTC",287,"htc-phones-45.php","https://www.gsmarena.com/htc-phones-45.php","htc","45"
"41","Huawei",435,"huawei-phones-58.php","https://www.gsmarena.com/huawei-phones-58.php","huawei","58"
"42","i-mate",34,"i_mate-phones-35.php","https://www.gsmarena.com/i_mate-phones-35.php","i_mate","35"
"43","i-mobile",37,"i_mobile-phones-52.php","https://www.gsmarena.com/i_mobile-phones-52.php","i_mobile","52"
"44","Icemobile",61,"icemobile-phones-69.php","https://www.gsmarena.com/icemobile-phones-69.php","icemobile","69"
"45","Infinix",116,"infinix-phones-119.php","https://www.gsmarena.com/infinix-phones-119.php","infinix","119"
"46","Innostream",18,"innostream-phones-29.php","https://www.gsmarena.com/innostream-phones-29.php","innostream","29"
"47","iNQ",5,"inq-phones-60.php","https://www.gsmarena.com/inq-phones-60.php","inq","60"
"48","Intex",15,"intex-phones-102.php","https://www.gsmarena.com/intex-phones-102.php","intex","102"
"49","itel",29,"itel-phones-131.php","https://www.gsmarena.com/itel-phones-131.php","itel","131"
"50","Jolla",3,"jolla-phones-84.php","https://www.gsmarena.com/jolla-phones-84.php","jolla","84"
"51","Karbonn",60,"karbonn-phones-83.php","https://www.gsmarena.com/karbonn-phones-83.php","karbonn","83"
"52","Kyocera",24,"kyocera-phones-17.php","https://www.gsmarena.com/kyocera-phones-17.php","kyocera","17"
"53","Lava",140,"lava-phones-94.php","https://www.gsmarena.com/lava-phones-94.php","lava","94"
"54","LeEco",9,"leeco-phones-109.php","https://www.gsmarena.com/leeco-phones-109.php","leeco","109"
"55","Lenovo",245,"lenovo-phones-73.php","https://www.gsmarena.com/lenovo-phones-73.php","lenovo","73"
"56","LG",667,"lg-phones-20.php","https://www.gsmarena.com/lg-phones-20.php","lg","20"
"57","Maxon",31,"maxon-phones-14.php","https://www.gsmarena.com/maxon-phones-14.php","maxon","14"
"58","Maxwest",41,"maxwest-phones-87.php","https://www.gsmarena.com/maxwest-phones-87.php","maxwest","87"
"59","Meizu",70,"meizu-phones-74.php","https://www.gsmarena.com/meizu-phones-74.php","meizu","74"
"60","Micromax",289,"micromax-phones-66.php","https://www.gsmarena.com/micromax-phones-66.php","micromax","66"
"61","Microsoft",32,"microsoft-phones-64.php","https://www.gsmarena.com/microsoft-phones-64.php","microsoft","64"
"62","Mitac",12,"mitac-phones-25.php","https://www.gsmarena.com/mitac-phones-25.php","mitac","25"
"63","Mitsubishi",25,"mitsubishi-phones-8.php","https://www.gsmarena.com/mitsubishi-phones-8.php","mitsubishi","8"
"64","Modu",8,"modu-phones-63.php","https://www.gsmarena.com/modu-phones-63.php","modu","63"
"65","Motorola",602,"motorola-phones-4.php","https://www.gsmarena.com/motorola-phones-4.php","motorola","4"
"66","MWg",5,"mwg-phones-56.php","https://www.gsmarena.com/mwg-phones-56.php","mwg","56"
"67","NEC",73,"nec-phones-12.php","https://www.gsmarena.com/nec-phones-12.php","nec","12"
"68","Neonode",3,"neonode-phones-22.php","https://www.gsmarena.com/neonode-phones-22.php","neonode","22"
"69","NIU",30,"niu-phones-79.php","https://www.gsmarena.com/niu-phones-79.php","niu","79"
"70","Nokia",576,"nokia-phones-1.php","https://www.gsmarena.com/nokia-phones-1.php","nokia","1"
"71","Nothing",2,"nothing-phones-128.php","https://www.gsmarena.com/nothing-phones-128.php","nothing","128"
"72","Nvidia",3,"nvidia-phones-97.php","https://www.gsmarena.com/nvidia-phones-97.php","nvidia","97"
"73","O2",45,"o2-phones-30.php","https://www.gsmarena.com/o2-phones-30.php","o2","30"
"74","OnePlus",60,"oneplus-phones-95.php","https://www.gsmarena.com/oneplus-phones-95.php","oneplus","95"
"75","Oppo",282,"oppo-phones-82.php","https://www.gsmarena.com/oppo-phones-82.php","oppo","82"
"76","Orange",19,"orange-phones-71.php","https://www.gsmarena.com/orange-phones-71.php","orange","71"
"77","Palm",17,"palm-phones-27.php","https://www.gsmarena.com/palm-phones-27.php","palm","27"
"78","Panasonic",123,"panasonic-phones-6.php","https://www.gsmarena.com/panasonic-phones-6.php","panasonic","6"
"79","Pantech",72,"pantech-phones-32.php","https://www.gsmarena.com/pantech-phones-32.php","pantech","32"
"80","Parla",10,"parla-phones-81.php","https://www.gsmarena.com/parla-phones-81.php","parla","81"
"81","Philips",229,"philips-phones-11.php","https://www.gsmarena.com/philips-phones-11.php","philips","11"
"82","Plum",113,"plum-phones-72.php","https://www.gsmarena.com/plum-phones-72.php","plum","72"
"83","Posh",30,"posh-phones-101.php","https://www.gsmarena.com/posh-phones-101.php","posh","101"
"84","Prestigio",56,"prestigio-phones-86.php","https://www.gsmarena.com/prestigio-phones-86.php","prestigio","86"
"85","QMobile",90,"qmobile-phones-103.php","https://www.gsmarena.com/qmobile-phones-103.php","qmobile","103"
"86","Qtek",21,"qtek-phones-38.php","https://www.gsmarena.com/qtek-phones-38.php","qtek","38"
"87","Razer",2,"razer-phones-117.php","https://www.gsmarena.com/razer-phones-117.php","razer","117"
"88","Realme",177,"realme-phones-118.php","https://www.gsmarena.com/realme-phones-118.php","realme","118"
"89","Sagem",120,"sagem-phones-13.php","https://www.gsmarena.com/sagem-phones-13.php","sagem","13"
"90","Samsung",1372,"samsung-phones-9.php","https://www.gsmarena.com/samsung-phones-9.php","samsung","9"
"91","Sendo",19,"sendo-phones-18.php","https://www.gsmarena.com/sendo-phones-18.php","sendo","18"
"92","Sewon",25,"sewon-phones-26.php","https://www.gsmarena.com/sewon-phones-26.php","sewon","26"
"93","Sharp",72,"sharp-phones-23.php","https://www.gsmarena.com/sharp-phones-23.php","sharp","23"
"94","Siemens",94,"siemens-phones-3.php","https://www.gsmarena.com/siemens-phones-3.php","siemens","3"
"95","Sonim",18,"sonim-phones-54.php","https://www.gsmarena.com/sonim-phones-54.php","sonim","54"
"96","Sony",158,"sony-phones-7.php","https://www.gsmarena.com/sony-phones-7.php","sony","7"
"97","Sony Ericsson",188,"sony_ericsson-phones-19.php","https://www.gsmarena.com/sony_ericsson-phones-19.php","sony_ericsson","19"
"98","Spice",120,"spice-phones-68.php","https://www.gsmarena.com/spice-phones-68.php","spice","68"
"99","T-Mobile",64,"t_mobile-phones-55.php","https://www.gsmarena.com/t_mobile-phones-55.php","t_mobile","55"
"100","TCL",61,"tcl-phones-123.php","https://www.gsmarena.com/tcl-phones-123.php","tcl","123"
"101","Tecno",126,"tecno-phones-120.php","https://www.gsmarena.com/tecno-phones-120.php","tecno","120"
"102","Tel.Me.",7,"tel_me_-phones-21.php","https://www.gsmarena.com/tel_me_-phones-21.php","tel_me_","21"
"103","Telit",30,"telit-phones-16.php","https://www.gsmarena.com/telit-phones-16.php","telit","16"
"104","Thuraya",1,"thuraya-phones-49.php","https://www.gsmarena.com/thuraya-phones-49.php","thuraya","49"
"105","Toshiba",35,"toshiba-phones-44.php","https://www.gsmarena.com/toshiba-phones-44.php","toshiba","44"
"106","Ulefone",81,"ulefone-phones-124.php","https://www.gsmarena.com/ulefone-phones-124.php","ulefone","124"
"107","Unnecto",30,"unnecto-phones-91.php","https://www.gsmarena.com/unnecto-phones-91.php","unnecto","91"
"108","Vertu",17,"vertu-phones-39.php","https://www.gsmarena.com/vertu-phones-39.php","vertu","39"
"109","verykool",139,"verykool-phones-70.php","https://www.gsmarena.com/verykool-phones-70.php","verykool","70"
"110","vivo",389,"vivo-phones-98.php","https://www.gsmarena.com/vivo-phones-98.php","vivo","98"
"111","VK Mobile",31,"vk_mobile-phones-37.php","https://www.gsmarena.com/vk_mobile-phones-37.php","vk_mobile","37"
"112","Vodafone",87,"vodafone-phones-53.php","https://www.gsmarena.com/vodafone-phones-53.php","vodafone","53"
"113","Wiko",98,"wiko-phones-96.php","https://www.gsmarena.com/wiko-phones-96.php","wiko","96"
"114","WND",5,"wnd-phones-51.php","https://www.gsmarena.com/wnd-phones-51.php","wnd","51"
"115","XCute",4,"xcute-phones-43.php","https://www.gsmarena.com/xcute-phones-43.php","xcute","43"
"116","Xiaomi",358,"xiaomi-phones-80.php","https://www.gsmarena.com/xiaomi-phones-80.php","xiaomi","80"
"117","XOLO",81,"xolo-phones-85.php","https://www.gsmarena.com/xolo-phones-85.php","xolo","85"
"118","Yezz",113,"yezz-phones-78.php","https://www.gsmarena.com/yezz-phones-78.php","yezz","78"
"119","Yota",3,"yota-phones-99.php","https://www.gsmarena.com/yota-phones-99.php","yota","99"
"120","YU",13,"yu-phones-100.php","https://www.gsmarena.com/yu-phones-100.php","yu","100"
"121","ZTE",362,"zte-phones-62.php","https://www.gsmarena.com/zte-phones-62.php","zte","62"
